indicator,year,n_forecasts,average_forecast,actual_value,error
Deficit,2022,2,-3.15,-5.3,2.15
Deficit,2023,3,-1.73,-5.3,3.57
Public_debt,2022,1,51.3,48.8,2.5
Public_debt,2023,3,52.63,49.7,2.93
Unemployment,2021,4,4.2,3.4,0.8
Unemployment,2022,3,3.97,2.9,1.07
Unemployment,2023,4,3.77,2.8,0.97
